road_id,from_location_id,to_location_id,distance_km,travel_time_min,road_condition_weight
R001,L001,L043,0.111,1.5,1.6
R002,L001,L042,0.149,2.0,1.2
R003,L001,L005,0.155,2.1,1.4
R004,L001,L048,0.28,3.7,1.0
R005,L001,L004,0.299,4.0,1.6
R006,L002,L022,0.105,1.4,1.6
R007,L002,L030,0.149,2.0,1.7
R008,L002,L040,0.155,2.1,1.0
R009,L002,L028,0.164,2.2,1.5
R010,L002,L033,0.17,2.3,1.2
R011,L003,L032,0.102,1.4,1.3
R012,L003,L031,0.124,1.7,1.5
R013,L003,L018,0.157,2.1,1.2
R014,L003,L040,0.167,2.2,1.0
R015,L003,L041,0.169,2.3,1.6
R016,L004,L034,0.155,2.1,1.5
R017,L004,L027,0.228,3.0,1.3
R018,L004,L050,0.235,3.1,1.1
R019,L004,L044,0.248,3.3,1.7
R020,L004,L002,0.25,3.3,1.2
R021,L005,L044,0.192,2.6,1.7
R022,L005,L048,0.243,3.2,1.1
R023,L005,L027,0.25,3.3,1.4
R024,L005,L043,0.256,3.4,1.3
R025,L006,L007,0.16,2.1,1.8
R026,L006,L008,0.302,4.0,1.4
R027,L006,L009,0.337,4.5,1.3
R028,L006,L012,0.644,8.6,1.3
R029,L006,L011,0.693,9.2,1.7
R030,L007,L009,0.302,4.0,1.6
R031,L007,L008,0.347,4.6,1.7
R032,L007,L010,0.669,8.9,1.6
R033,L007,L049,0.674,9.0,1.1
R034,L008,L009,0.16,2.1,1.8
R035,L008,L012,0.345,4.6,1.4
R036,L008,L011,0.448,6.0,1.5
R037,L009,L012,0.413,5.5,1.7
R038,L009,L010,0.515,6.9,1.6
R039,L010,L035,0.311,4.1,1.7
R040,L010,L037,0.338,4.5,1.1
R041,L010,L036,0.359,4.8,1.1
R042,L010,L043,0.382,5.1,1.2
R043,L010,L039,0.429,5.7,1.0
R044,L011,L012,0.251,3.4,1.4
R045,L011,L009,0.576,7.7,1.2
R046,L011,L042,0.6,8.0,1.3
R047,L011,L048,0.674,9.0,1.0
R048,L012,L042,0.363,4.8,1.4
R049,L012,L048,0.49,6.5,1.1
R050,L013,L014,0.065,0.9,1.1
R051,L013,L015,0.099,1.3,1.1
R052,L013,L020,0.166,2.2,1.1
R053,L013,L016,0.198,2.6,1.1
R054,L013,L024,0.244,3.3,1.3
R055,L014,L015,0.114,1.5,1.2
R056,L014,L020,0.154,2.1,1.2
R057,L014,L016,0.215,2.9,1.1
R058,L014,L024,0.306,4.1,1.2
R059,L015,L016,0.102,1.4,1.0
R060,L015,L017,0.197,2.6,1.1
R061,L015,L020,0.259,3.5,1.3
R062,L016,L017,0.095,1.3,1.2
R063,L016,L023,0.24,3.2,1.2
R064,L017,L023,0.144,1.9,1.2
R065,L017,L041,0.233,3.1,1.7
R066,L017,L013,0.29,3.9,1.2
R067,L018,L024,0.084,1.1,1.1
R068,L018,L030,0.111,1.5,1.0
R069,L018,L040,0.124,1.7,1.1
R070,L018,L028,0.124,1.7,1.1
R071,L018,L021,0.154,2.1,1.1
R072,L019,L029,0.065,0.9,1.3
R073,L019,L026,0.135,1.8,1.3
R074,L019,L044,0.157,2.1,1.4
R075,L019,L025,0.169,2.3,1.2
R076,L019,L027,0.179,2.4,1.1
R077,L020,L029,0.212,2.8,1.3
R078,L020,L026,0.243,3.2,1.1
R079,L020,L019,0.253,3.4,1.1
R080,L021,L026,0.065,0.9,1.1
R081,L021,L024,0.071,0.9,1.2
R082,L021,L038,0.118,1.6,1.1
R083,L021,L050,0.142,1.9,1.1
R084,L022,L033,0.124,1.7,1.3
R085,L022,L040,0.169,2.3,1.1
R086,L022,L032,0.194,2.6,1.1
R087,L022,L030,0.196,2.6,1.3
R088,L023,L041,0.199,2.6,1.5
R089,L023,L003,0.334,4.5,1.3
R090,L023,L015,0.341,4.6,1.0
R091,L024,L038,0.127,1.7,1.0
R092,L024,L028,0.134,1.8,1.2
R093,L024,L026,0.135,1.8,1.2
R094,L025,L029,0.151,2.0,1.1
R095,L025,L044,0.255,3.4,1.2
R096,L025,L026,0.304,4.1,1.1
R097,L025,L005,0.306,4.1,1.8
R098,L026,L038,0.151,2.0,1.1
R099,L026,L027,0.155,2.1,1.3
R100,L027,L044,0.071,0.9,1.7
R101,L027,L050,0.111,1.5,1.0
R102,L027,L034,0.111,1.5,1.2
R103,L027,L038,0.134,1.8,1.1
R104,L028,L030,0.055,0.7,1.2
R105,L028,L038,0.074,1.0,1.1
R106,L028,L050,0.094,1.3,1.1
R107,L028,L040,0.111,1.5,1.0
R108,L029,L026,0.172,2.3,1.1
R109,L029,L044,0.22,2.9,1.5
R110,L030,L040,0.055,0.7,1.2
R111,L030,L038,0.129,1.7,1.2
R112,L030,L033,0.144,1.9,1.1
R113,L031,L032,0.05,0.7,1.2
R114,L031,L033,0.092,1.2,1.1
R115,L031,L040,0.157,2.1,1.2
R116,L031,L022,0.203,2.7,1.3
R117,L032,L033,0.07,0.9,1.1
R118,L032,L040,0.111,1.5,1.1
R119,L032,L030,0.165,2.2,1.2
R120,L033,L040,0.091,1.2,1.0
R121,L034,L050,0.081,1.1,1.2
R122,L034,L038,0.113,1.5,1.1
R123,L034,L028,0.151,2.0,1.2
R124,L035,L037,0.085,1.1,1.1
R125,L035,L036,0.198,2.6,1.0
R126,L035,L039,0.244,3.2,1.1
R127,L035,L047,0.244,3.3,1.2
R128,L036,L039,0.07,0.9,1.2
R129,L036,L037,0.118,1.6,1.2
R130,L036,L046,0.124,1.7,1.2
R131,L036,L047,0.279,3.7,1.1
R132,L037,L039,0.159,2.1,1.0
R133,L037,L047,0.219,2.9,1.2
R134,L037,L046,0.238,3.2,1.2
R135,L038,L050,0.033,0.4,1.0
R136,L039,L046,0.089,1.2,1.1
R137,L039,L047,0.257,3.4,1.0
R138,L041,L031,0.216,2.9,1.7
R139,L041,L032,0.234,3.1,1.7
R140,L042,L043,0.193,2.6,1.3
R141,L042,L048,0.236,3.1,1.1
R142,L042,L005,0.26,3.5,1.5
R143,L043,L004,0.31,4.1,1.4
R144,L043,L048,0.382,5.1,1.2
R145,L044,L034,0.169,2.3,1.5
R146,L044,L050,0.182,2.4,1.0
R147,L044,L026,0.189,2.5,1.5
R148,L045,L047,0.277,3.7,1.6
R149,L045,L035,0.377,5.0,1.3
R150,L045,L037,0.413,5.5,1.1
R151,L045,L036,0.516,6.9,1.2
R152,L045,L039,0.516,6.9,1.1
R153,L046,L022,0.248,3.3,1.5
R154,L046,L002,0.26,3.5,1.5
R155,L048,L025,0.311,4.2,1.0
R156,L049,L006,0.79,10.5,1.0
R157,L036,L001,0.607,8.1,1.1
R158,L036,L003,0.666,8.9,1.1
R159,L036,L004,0.393,5.2,1.0
R160,L036,L006,1.15,15.3,1.0
R161,L036,L011,1.275,17.0,1.0
R162,L036,L013,0.91,12.1,1.1
R163,L036,L017,0.959,12.8,1.0
R164,L036,L019,0.775,10.3,1.2
R165,L036,L023,0.981,13.1,1.2
R166,L036,L028,0.534,7.1,1.0
R167,L036,L031,0.57,7.6,1.0
R168,L036,L041,0.784,10.5,1.1
R169,L036,L042,0.736,9.8,1.0
R170,L036,L048,0.87,11.6,1.0
R171,L036,L049,1.22,16.3,1.2
R172,L036,L050,0.547,7.3,1.1
