request_id,source_location_id,destination_location_id,category,urgency,urgency_score,time_submitted,deadline,status
Q001,L016,L036,Structural,LOW,4,2026-07-02T08:06:00,2026-07-05T08:06:00,NEW
Q002,L023,L036,Plumbing,MEDIUM,3,2026-07-01T17:41:00,2026-07-02T17:41:00,NEW
Q003,L047,L036,Electrical,MEDIUM,3,2026-07-03T08:15:00,2026-07-04T08:15:00,NEW
Q004,L006,L036,Plumbing,HIGH,2,2026-07-02T11:29:00,2026-07-02T15:29:00,NEW
Q005,L008,L036,Equipment Movement,MEDIUM,3,2026-07-05T08:03:00,2026-07-06T08:03:00,NEW
Q006,L023,L036,Plumbing,CRITICAL,1,2026-07-01T10:10:00,2026-07-01T12:10:00,NEW
Q007,L013,L036,Plumbing,LOW,4,2026-07-01T09:24:00,2026-07-04T09:24:00,NEW
Q008,L001,L036,Plumbing,LOW,4,2026-07-04T11:27:00,2026-07-07T11:27:00,NEW
Q009,L025,L036,Structural,MEDIUM,3,2026-07-04T09:12:00,2026-07-05T09:12:00,NEW
Q010,L009,L036,Equipment Movement,MEDIUM,3,2026-07-05T07:47:00,2026-07-06T07:47:00,NEW
Q011,L010,L036,Electrical,MEDIUM,3,2026-07-05T09:03:00,2026-07-06T09:03:00,NEW
Q012,L044,L036,Electrical,HIGH,2,2026-07-05T08:43:00,2026-07-05T12:43:00,NEW
Q013,L035,L036,Plumbing,LOW,4,2026-07-05T10:37:00,2026-07-08T10:37:00,NEW
Q014,L020,L036,Structural,MEDIUM,3,2026-07-05T16:33:00,2026-07-06T16:33:00,NEW
Q015,L010,L036,Electrical,MEDIUM,3,2026-07-03T10:16:00,2026-07-04T10:16:00,NEW
Q016,L012,L036,Structural,HIGH,2,2026-07-03T08:00:00,2026-07-03T12:00:00,NEW
Q017,L015,L036,Equipment Movement,LOW,4,2026-07-01T15:13:00,2026-07-04T15:13:00,NEW
Q018,L017,L036,Electrical,HIGH,2,2026-07-01T10:23:00,2026-07-01T14:23:00,NEW
Q019,L009,L036,Plumbing,MEDIUM,3,2026-07-03T16:51:00,2026-07-04T16:51:00,NEW
Q020,L023,L036,Electrical,LOW,4,2026-07-03T17:06:00,2026-07-06T17:06:00,NEW
Q021,L042,L036,Electrical,HIGH,2,2026-07-01T15:09:00,2026-07-01T19:09:00,NEW
Q022,L009,L036,Structural,MEDIUM,3,2026-07-02T17:40:00,2026-07-03T17:40:00,NEW
Q023,L035,L036,Plumbing,HIGH,2,2026-07-01T08:40:00,2026-07-01T12:40:00,NEW
Q024,L014,L036,Electrical,CRITICAL,1,2026-07-02T17:16:00,2026-07-02T19:16:00,NEW
Q025,L005,L036,Plumbing,MEDIUM,3,2026-07-05T07:07:00,2026-07-06T07:07:00,NEW
Q026,L003,L036,Equipment Movement,LOW,4,2026-07-05T07:53:00,2026-07-08T07:53:00,NEW
Q027,L012,L036,Structural,MEDIUM,3,2026-07-01T11:23:00,2026-07-02T11:23:00,NEW
Q028,L039,L036,Structural,LOW,4,2026-07-03T10:43:00,2026-07-06T10:43:00,NEW
Q029,L008,L036,Electrical,MEDIUM,3,2026-07-04T16:47:00,2026-07-05T16:47:00,NEW
Q030,L005,L036,Equipment Movement,LOW,4,2026-07-02T13:01:00,2026-07-05T13:01:00,NEW
Q031,L006,L036,Equipment Movement,MEDIUM,3,2026-07-04T17:55:00,2026-07-05T17:55:00,NEW
Q032,L026,L036,Electrical,HIGH,2,2026-07-01T13:55:00,2026-07-01T17:55:00,NEW
Q033,L002,L036,Plumbing,HIGH,2,2026-07-04T12:19:00,2026-07-04T16:19:00,NEW
Q034,L031,L036,Equipment Movement,HIGH,2,2026-07-02T13:21:00,2026-07-02T17:21:00,NEW
Q035,L009,L036,Electrical,MEDIUM,3,2026-07-03T17:32:00,2026-07-04T17:32:00,NEW
Q036,L013,L036,Equipment Movement,MEDIUM,3,2026-07-01T08:56:00,2026-07-02T08:56:00,NEW
Q037,L044,L036,Electrical,LOW,4,2026-07-03T07:06:00,2026-07-06T07:06:00,NEW
Q038,L021,L036,Plumbing,MEDIUM,3,2026-07-04T16:32:00,2026-07-05T16:32:00,NEW
Q039,L004,L036,Equipment Movement,HIGH,2,2026-07-01T13:00:00,2026-07-01T17:00:00,NEW
Q040,L017,L036,Equipment Movement,MEDIUM,3,2026-07-02T12:27:00,2026-07-03T12:27:00,NEW
Q041,L003,L036,Structural,HIGH,2,2026-07-03T17:54:00,2026-07-03T21:54:00,NEW
Q042,L004,L036,Equipment Movement,MEDIUM,3,2026-07-04T12:25:00,2026-07-05T12:25:00,NEW
Q043,L025,L036,Structural,HIGH,2,2026-07-04T17:47:00,2026-07-04T21:47:00,NEW
Q044,L040,L036,Structural,HIGH,2,2026-07-05T07:19:00,2026-07-05T11:19:00,NEW
Q045,L009,L036,Plumbing,MEDIUM,3,2026-07-03T14:28:00,2026-07-04T14:28:00,NEW
Q046,L014,L036,Electrical,MEDIUM,3,2026-07-02T17:05:00,2026-07-03T17:05:00,NEW
Q047,L009,L036,Structural,MEDIUM,3,2026-07-01T10:43:00,2026-07-02T10:43:00,NEW
Q048,L010,L036,Equipment Movement,HIGH,2,2026-07-01T10:30:00,2026-07-01T14:30:00,NEW
Q049,L021,L036,Structural,MEDIUM,3,2026-07-05T10:45:00,2026-07-06T10:45:00,NEW
Q050,L025,L036,Plumbing,HIGH,2,2026-07-01T08:49:00,2026-07-01T12:49:00,NEW
Q051,L014,L036,Electrical,LOW,4,2026-07-05T14:03:00,2026-07-08T14:03:00,NEW
Q052,L019,L036,Equipment Movement,HIGH,2,2026-07-02T14:42:00,2026-07-02T18:42:00,NEW
Q053,L018,L036,Structural,HIGH,2,2026-07-04T16:52:00,2026-07-04T20:52:00,NEW
Q054,L026,L036,Plumbing,LOW,4,2026-07-05T14:57:00,2026-07-08T14:57:00,NEW
Q055,L005,L036,Equipment Movement,MEDIUM,3,2026-07-02T17:17:00,2026-07-03T17:17:00,NEW
Q056,L027,L036,Plumbing,MEDIUM,3,2026-07-03T14:04:00,2026-07-04T14:04:00,NEW
Q057,L025,L036,Electrical,HIGH,2,2026-07-05T08:08:00,2026-07-05T12:08:00,NEW
